Player_Name,Club,Position,Goals_Scored,Assists,Total_Points,Minutes,Goals_Conceded,Creativity,Influence,Threat,Bonus,Clean_Sheets
Kurt Zouma,Chelsea,Defender,5,0,108,2027,25,72.6,577.8,339,6,9
Marcos Alonso,Chelsea,Defender,2,1,57,958,13,204.1,224.2,328,5,5
Mason Mount,Chelsea,Midfielder,6,7,147,2887,32,1336.9,770.4,954,16,14
Mateo Kovacic,Chelsea,Midfielder,0,1,54,1809,26,384.8,332.4,153,0,9
N'Golo Kante,Chelsea,Midfielder,0,2,62,2140,24,347.3,449.0,96,0,10
Olivier Giroud,Chelsea,Forward,4,0,47,740,5,112.0,161.4,403,6,4
Reece James,Chelsea,Defender,1,3,112,2367,29,697.3,527.4,399,15,9
Tammy Abraham,Chelsea,Forward,6,2,69,1031,12,121.6,277.2,483,8,5
Thiago Silva,Chelsea,Defender,2,0,92,1935,25,84.9,537.8,223,10,10
Timo Werner,Chelsea,Forward,6,12,128,2598,29,532.4,514.8,1276,7,13
Valentino Livramento,Chelsea,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Willy Caballero,Chelsea,Goalkeeper,0,0,1,90,3,0.0,4.2,0,0,0
Andros Townsend,Crystal Palace,Midfielder,1,5,94,2250,37,694.6,511.4,311,8,7
Cheikhou Kouyate,Crystal Palace,Midfielder,1,0,82,3121,56,103.0,574.8,134,2,8
Christian Benteke,Crystal Palace,Forward,10,2,106,1808,34,236.5,512.6,1030,14,5
Connor Wickham,Crystal Palace,Forward,0,0,0,0,0,0.0,0.0,0,0,0
Eberechi Eze,Crystal Palace,Midfielder,4,8,125,2555,51,653.1,516.2,383,17,6
Gary Cahill,Crystal Palace,Defender,1,1,53,1800,39,90.1,406.2,157,6,4
Jack Butland,Crystal Palace,Goalkeeper,0,0,2,90,2,0.0,16.6,0,0,0
Jairo Riedewald,Crystal Palace,Midfielder,2,0,64,1810,39,160.4,274.0,88,4,4
James McArthur,Crystal Palace,Midfielder,0,2,45,1465,26,202.2,285.2,65,3,4
James McCarthy,Crystal Palace,Midfielder,0,0,26,816,15,87.2,112.2,10,0,2
James Tomkins,Crystal Palace,Defender,0,0,18,551,12,11.4,101.2,29,2,2
Jean-Philippe Mateta,Crystal Palace,Forward,1,0,15,215,4,16.2,46.6,80,2,0
Jeffrey Schlupp,Crystal Palace,Midfielder,2,3,65,1415,26,242.1,336.6,304,3,5
Joel Ward,Crystal Palace,Defender,0,1,66,2255,43,118.2,366.8,28,6,7
Jordan Ayew,Crystal Palace,Forward,1,4,70,2086,42,238.6,278.6,451,2,6
Luka Milivojevic,Crystal Palace,Midfielder,1,1,63,2357,47,329.6,410.8,143,3,7
Mamadou Sakho,Crystal Palace,Defender,0,0,4,275,8,1.6,36.6,6,0,0
Martin Kelly,Crystal Palace,Defender,0,0,1,1,0,0.0,2.2,0,0,0
Michy Batshuayi,Crystal Palace,Forward,2,2,41,717,15,113.5,132.8,210,2,2
Nathan Ferguson,Crystal Palace,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Nathaniel Clyne,Crystal Palace,Defender,0,1,28,1145,22,84.3,150.8,34,0,2
Patrick van Aanholt,Crystal Palace,Defender,0,2,54,1775,36,195.3,298.6,198,5,4
Reece Hannam,Crystal Palace,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Ryan Inniss,Crystal Palace,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Sam Woods,Crystal Palace,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Scott Dann,Crystal Palace,Defender,1,1,39,1350,24,17.0,284.6,99,1,2
Stephen Henderson,Crystal Palace,Goalkeeper,0,0,0,0,0,0.0,0.0,0,0,0
Tyrick Mitchell,Crystal Palace,Defender,1,2,58,1710,32,76.8,387.6,60,5,4
Vicente Guaita,Crystal Palace,Goalkeeper,0,0,124,3330,64,0.0,819.4,0,15,8
Wilfried Zaha,Crystal Palace,Midfielder,11,4,136,2612,52,428.5,572.6,1003,11,6
Abdoulaye Doucoure,Everton,Midfielder,2,3,80,2443,36,319.4,433.8,267,2,9
Alex Iwobi,Everton,Midfielder,1,3,65,1530,21,263.1,262.6,233,1,5
Allan Marques Loureiro,Everton,Midfielder,0,0,47,2050,30,233.3,366.6,42,0,7
Andre Tavares Gomes,Everton,Midfielder,0,1,48,1559,22,244.5,189.0,103,0,5
Anthony Gordon,Everton,Midfielder,0,0,3,87,0,12.7,14.4,4,0,0
Ben Godfrey,Everton,Defender,0,2,100,2683,35,84.3,610.4,152,7,11
Bernard Caldeira Duarte,Everton,Midfielder,1,0,21,447,7,142.7,104.8,80,1,2
Cenk Tosun,Everton,Forward,0,0,4,44,3,11.6,2.2,4,0,0
Dominic Calvert-Lewin,Everton,Forward,16,6,165,2871,39,308.0,745.8,1439,21,11
Fabian Delph,Everton,Midfielder,0,0,8,260,6,29.8,37.0,1,0,0
Gylfi Sigurdsson,Everton,Midfielder,6,5,122,2244,29,644.2,530.6,510,13,10
James Rodriguez,Everton,Midfielder,6,5,101,1763,27,585.6,499.2,399,11,5
Joao Virginia,Everton,Goalkeeper,0,0,2,47,0,0.0,25.0,0,0,0
Jonjoe Kenny,Everton,Defender,0,0,5,78,1,8.1,11.0,8,0,0
Jordan Pickford,Everton,Goalkeeper,0,0,114,2742,39,10.1,698.4,0,8,10
Joshua King,Everton,Forward,0,0,11,138,2,5.6,13.4,31,0,0
Lucas Digne,Everton,Defender,0,9,120,2681,42,704.2,592.6,136,18,9
Mason Holgate,Everton,Defender,1,0,80,2286,32,126.0,432.2,80,4,9
Michael Keane,Everton,Defender,3,1,127,2989,43,87.8,814.0,243,13,11
Moise Kean,Everton,Forward,0,0,2,13,0,1.3,0.0,11,0,0
Nathan Broadhead,Everton,Midfielder,0,0,1,2,0,0.0,2.0,0,0,0
Niels Nkounkou,Everton,Defender,0,0,2,80,1,5.7,15.0,1,0,0
Richarlison de Andrade,Everton,Forward,7,6,123,2862,38,359.7,576.4,1147,18,11
Robin Olsen,Everton,Goalkeeper,0,0,25,630,9,0.0,166.4,0,3,2
Seamus Coleman,Everton,Defender,0,3,81,1607,19,268.2,322.6,189,4,8
Tom Davies,Everton,Midfielder,0,1,47,1417,23,112.0,205.6,30,1,5
Yerry Mina,Everton,Defender,2,0,79,1936,22,23.5,496.2,200,7,6
Adam Forshaw,Leeds United,Midfielder,0,0,0,0,0,0.0,0.0,0,0,0
Diego Llorente,Leeds United,Defender,1,0,50,1203,12,51.0,293.0,115,3,4
Ezgjan Alioski,Leeds United,Defender,2,3,110,2456,35,423.0,477.8,281,7,10
Francisco Casilla,Leeds United,Goalkeeper,0,0,14,270,2,0.0,68.0,0,2,1
Gaetano Berardi,Leeds United,Defender,0,0,8,113,0,0.9,17.2,18,1,1
Helder Costa,Leeds United,Midfielder,3,4,63,1150,23,134.3,224.2,289,2,3
Ian Carlo Poveda-Ocampo,Leeds United,Midfielder,0,0,14,344,5,71.5,55.0,91,0,0
Illan Meslier,Leeds United,Goalkeeper,0,0,154,3150,52,10.0,1026.0,0,20,11
Jack Harrison,Leeds United,Midfielder,8,10,160,2846,45,821.7,759.2,666,15,11
Jack Jenkins,Leeds United,Midfielder,0,0,0,0,0,0.0,0.0,0,0,0
Jamie Shackleton,Leeds United,Midfielder,0,0,17,454,11,45.7,52.0,18,0,1
Jay-Roy Grot,Leeds United,Midfielder,0,0,0,0,0,0.0,0.0,0,0,0
Jordan Stevens,Leeds United,Midfielder,0,0,0,0,0,0.0,0.0,0,0,0
Kalvin Phillips,Leeds United,Midfielder,1,2,67,2428,34,539.3,535.4,82,2,9
Kamil Miazek,Leeds United,Goalkeeper,0,0,0,0,0,0.0,0.0,0,0,0
Leif Davis,Leeds United,Defender,0,0,2,31,0,0.6,2.8,0,0,0
Liam Cooper,Leeds United,Defender,1,0,59,2186,41,17.7,620.4,259,2,6
Luke Ayling,Leeds United,Defender,0,0,100,3399,54,421.4,843.2,350,2,12
Mateusz Bogusz,Leeds United,Midfielder,0,0,0,0,0,0.0,0.0,0,0,0
Mateusz Klich,Leeds United,Midfielder,4,5,99,2386,44,661.4,464.6,333,3,8
Niall Huggins,Leeds United,Forward,0,0,1,37,0,0.9,2.6,2,0,0
Pablo Hernandez,Leeds United,Midfielder,0,3,28,414,6,97.9,84.0,153,0,1
Pascal Struijk,Leeds United,Defender,1,0,71,2072,32,66.3,513.0,222,2,7
Patrick Bamford,Leeds United,Forward,17,11,194,3052,50,371.0,867.2,1512,26,10
Raphael Dias Belloli,Leeds United,Midfielder,6,10,133,2358,34,889.3,719.6,902,11,9
Robin Koch,Leeds United,Defender,0,0,38,1130,21,52.2,230.2,131,2,4
Rodrigo Moreno,Leeds United,Forward,7,4,89,1279,21,409.7,398.4,617,16,3
Stuart Dallas,Leeds United,Defender,8,3,171,3410,53,454.6,756.8,527,15,12
Tyler Roberts,Leeds United,Midfielder,1,2,49,1330,19,239.0,189.4,296,0,4
Ayoze Perez,Leicester City,Midfielder,2,1,58,1322,21,323.6,255.6,482,2,5
Calgar Soyuncu,Leicester City,Defender,1,0,59,1816,30,114.4,403.6,157,3,5
Cengiz Under,Leicester City,Midfielder,0,2,16,275,5,87.5,73.4,88,0,0
Christian Fuchs,Leicester City,Defender,0,0,24,701,9,33.9,137.0,22,2,3
Daniel Amartey,Leicester City,Defender,1,0,19,718,12,10.9,155.0,61,2,0
Demarai Gray,Leicester City,Midfielder,0,0,1,18,0,1.3,0.2,3,0,0
Dennis Praet,Leicester City,Midfielder,1,2,37,714,11,132.1,119.2,120,1,3
Filip Benkovic,Leicester City,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Hamza Choudhury,Leicester City,Midfielder,0,0,14,311,2,13.5,34.0,29,0,2
Harvey Barnes,Leicester City,Midfielder,9,5,126,1944,25,359.0,556.4,810,13,7
Islam Slimani,Leicester City,Forward,0,0,1,19,1,11.7,0.2,6,0,0
James Justin,Leicester City,Defender,2,2,101,2070,25,290.7,472.2,195,13,9
James Maddison,Leicester City,Midfielder,8,7,133,2093,28,770.3,588.4,668,12,10
Jamie Vardy,Leicester City,Forward,15,14,187,2838,44,356.6,819.2,1306,23,8
Jonny Evans,Leicester City,Defender,2,2,109,2473,31,129.0,532.4,115,12,10
Kasper Schmeichel,Leicester City,Goalkeeper,0,0,128,3420,50,0.0,769.0,0,6,11
Kelechi Iheanacho,Leicester City,Forward,12,2,110,1452,23,413.9,540.2,814,18,5
Luke Thomas,Leicester City,Defender,1,0,26,968,18,111.7,169.0,101,0,1
Marc Albrighton,Leicester City,Midfielder,1,7,78,1735,22,544.2,412.6,282,3,4
Nampalys Mendy,Leicester City,Midfielder,0,1,41,1452,25,118.7,153.0,23,0,4
Ricardo Domingos Barbosa Pereira,Leicester City,Defender,0,1,27,954,19,162.4,183.4,144,0,2
Sidnei Tavares,Leicester City,Midfielder,0,0,3,84,1,1.2,9.6,9,0,0
Thakgalo Leshabela,Leicester City,Midfielder,0,0,1,9,0,1.4,0.6,0,0,0
Timothy Castagne,Leicester City,Defender,2,4,94,2345,37,350.2,486.6,181,7,6
Vontae Daley-Campbell,Leicester City,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Wes Morgan,Leicester City,Defender,0,0,3,16,0,0.1,3.0,0,0,0
Wesley Fofana,Leicester City,Defender,0,1,71,2260,30,107.8,502.0,121,5,7
Wilfred Ndidi,Leicester City,Midfielder,1,4,79,2175,31,234.5,549.2,78,11,7
Youri Tielemans,Leicester City,Midfielder,6,4,133,3356,50,788.2,840.4,462,11,11
Adrian Castillo,Liverpool,Goalkeeper,0,0,11,270,9,0.0,59.6,0,2,1
Alex Oxlade-Chamberlain,Liverpool,Midfielder,1,1,21,243,6,32.9,70.8,68,0,0
Alisson Becker,Liverpool,Goalkeeper,1,0,140,2970,32,0.1,776.4,17,13,10
Andrew Robertson,Liverpool,Defender,1,8,161,3384,42,1129.3,754.4,359,19,12
Caoimhin Kelleher,Liverpool,Goalkeeper,0,0,10,180,1,0.0,57.8,0,0,1
Curtis Jones,Liverpool,Midfielder,1,2,50,1169,14,233.4,224.6,289,0,5
Dean Henderson,Liverpool,Goalkeeper,0,0,44,1125,12,0.0,275.4,0,1,4
Diogo Jota,Liverpool,Midfielder,9,0,86,1106,15,188.3,387.4,680,9,4
Divock Origi,Liverpool,Forward,0,0,10,180,0,33.2,17.8,60,0,1
Fabio Henrique Tavares,Liverpool,Midfielder,0,2,71,2566,29,106.8,460.4,75,2,11
Georginio Wijnaldum,Liverpool,Midfielder,2,1,97,2938,39,387.0,358.2,307,3,10
James Milner,Liverpool,Midfielder,0,2,44,1056,10,242.0,200.0,108,2,4
Joel Matip,Liverpool,Defender,1,2,42,690,5,42.4,179.0,84,5,3
Jordan Henderson,Liverpool,Midfielder,1,2,56,1704,23,262.3,358.0,108,2,4
Joseph Gomez,Liverpool,Defender,0,0,10,589,14,18.1,106.8,0,0,0
Mohamed Salah,Liverpool,Midfielder,22,6,231,3077,41,825.7,1056.0,1980,21,11
Naby Keita,Liverpool,Midfielder,0,0,15,517,8,100.5,70.6,119,0,2
Nathaniel Phillips,Liverpool,Defender,1,1,68,1455,11,90.6,376.4,132,1,7
Neco Williams,Liverpool,Defender,0,0,11,247,1,47.8,42.0,34,0,1
Ozan Kabak,Liverpool,Defender,0,0,26,801,9,17.2,131.0,19,1,3
Rhys Williams,Liverpool,Defender,0,0,28,659,6,29.8,111.6,62,1,3
Roberto Firmino,Liverpool,Forward,9,8,141,2837,39,643.2,729.4,1415,15,10
Sadio Mane,Liverpool,Midfielder,11,11,176,2808,28,809.7,808.8,1535,14,12
Thiago Alcantara,Liverpool,Midfielder,1,0,55,1851,18,460.3,378.8,178,1,8
Trent Alexander-Arnold,Liverpool,Defender,2,8,160,3029,40,1238.8,789.6,529,26,10
Virgil van Dijk,Liverpool,Defender,1,0,15,370,11,4.8,82.4,66,1,1
Xherdan Shaqiri,Liverpool,Midfielder,0,2,26,548,7,294.2,95.2,86,1,2
Aymeric Laporte,Manchester City,Defender,0,0,58,1343,10,78.0,233.4,85,4,7
Benjamin Mendy,Manchester City,Defender,2,1,63,951,10,117.1,179.8,89,8,5
Bernardo Silva,Manchester City,Midfielder,2,7,94,2063,18,476.2,399.6,463,9,11
Ederson Moares,Manchester City,Goalkeeper,0,1,160,3240,28,10.0,586.0,0,3,19
Eric Garcia,Manchester City,Defender,0,0,6,380,12,26.4,67.6,5,0,0
Fernando Luiz Rosa,Manchester City,Defender,0,2,65,1182,10,220.8,248.6,106,8,7
Ferran Torres,Manchester City,Midfielder,7,4,95,1297,13,276.4,352.2,543,4,7
Gabriel Fernando de Jesus,Manchester City,Forward,9,5,115,2056,17,467.5,501.0,931,16,11
Ilkay Gundogan,Manchester City,Midfielder,13,4,157,2025,16,688.4,754.6,712,22,12
Joao Cancelo,Manchester City,Defender,2,4,138,2298,21,673.0,569.8,394,18,14
John Stones,Manchester City,Defender,4,0,128,1933,12,79.8,520.0,192,11,14
Kevin De Bruyne,Manchester City,Midfielder,6,12,141,1995,17,1170.1,760.8,914,19,12
Kyle Walker,Manchester City,Defender,1,1,91,1944,20,200.9,332.2,88,7,9
Liam Delap,Manchester City,Forward,0,0,1,39,4,0.3,0.0,4,0,0
Luke Mbete,Manchester City,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Nathan Ake,Manchester City,Defender,1,0,29,797,13,46.9,156.0,44,1,3
Nicolas Otamendi,Manchester City,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Oleksandr Zinchenko,Manchester City,Defender,0,0,69,1473,14,295.7,272.0,134,5,8
Phil Foden,Manchester City,Midfielder,9,8,135,1607,16,545.8,580.8,734,17,6
Raheem Sterling,Manchester City,Midfielder,10,9,154,2534,23,584.1,663.4,1366,10,14
